acc,c_score,r_score,diff,model
0.9940000176429749,19.1396484375,-12.92578125,32.0654296875,llama-E-Reward-Model
1.0,23.88671875,-21.611328125,45.498046875,llama-I-Reward-Model
0.9975000619888306,19.34375,-25.095703125,44.439453125,llama-S-Reward-Model
0.9985000491142273,22.388671875,-30.0703125,52.458984375,llama-N-Reward-Model
0.9975000619888306,15.7177734375,-16.759765625,32.4775390625,llama-T-Reward-Model
1.0,6.703125,-26.091796875,32.794921875,llama-F-Reward-Model
0.9985000491142273,10.4375,-13.533203125,23.970703125,llama-J-Reward-Model
1.0,27.76171875,-21.12890625,48.890625,llama-P-Reward-Model
0.9971250295639038,17.57400131225586,-30.091001510620117,47.66500282287598,llama-ENTJ-Reward-Model
0.9987500905990601,27.315502166748047,-28.218002319335938,55.533504486083984,llama-ENFP-Reward-Model
0.9981250762939453,16.957250595092773,-29.84400177001953,46.801252365112305,llama-ENFJ-Reward-Model
0.9985000491142273,27.953502655029297,-23.898502349853516,51.85200500488281,llama-ENTP-Reward-Model
0.9983750581741333,20.06875228881836,-22.830001831054688,42.89875411987305,llama-ESTJ-Reward-Model
0.999000072479248,26.273502349853516,-21.259000778198242,47.53250312805176,llama-ESTP-Reward-Model
0.9987500905990601,32.128501892089844,-32.86000061035156,64.9885025024414,llama-ESFP-Reward-Model
0.9983750581741333,25.970500946044922,-28.586502075195312,54.557003021240234,llama-ESFJ-Reward-Model
0.9986250400543213,18.246749877929688,-31.529003143310547,49.775753021240234,llama-INTJ-Reward-Model
0.99937504529953,29.664501190185547,-30.96700096130371,60.63150215148926,llama-INTP-Reward-Model
0.9993749856948853,35.022499084472656,-29.59600067138672,64.61849975585938,llama-INFP-Reward-Model
0.9976249933242798,16.262001037597656,-38.13349914550781,54.39550018310547,llama-INFJ-Reward-Model
0.9981250762939453,20.234500885009766,-28.74700164794922,48.981502532958984,llama-ISTJ-Reward-Model
0.999000072479248,28.140501022338867,-28.49850082397461,56.63900184631348,llama-ISTP-Reward-Model
0.9991250038146973,27.413501739501953,-44.637001037597656,72.05050277709961,llama-ISFP-Reward-Model
0.9982500076293945,27.271501541137695,-34.855003356933594,62.12650489807129,llama-ISFJ-Reward-Model
