model,acc,c_score,r_score,diff
chatglm-E-Reward-Model,0.9885000586509705,6.608631134033203,-2.9513890743255615,9.560020208358765
chatglm-I-Reward-Model,0.9945000410079956,8.165675163269043,-2.2153398990631104,10.381015062332153
chatglm-S-Reward-Model,0.9970000386238098,7.447421073913574,-4.367559909820557,11.81498098373413
chatglm-N-Reward-Model,0.9890000224113464,7.237599849700928,-1.8033854961395264,9.040985345840454
chatglm-T-Reward-Model,0.9720000624656677,5.584821701049805,-0.280205637216568,5.865027338266373
chatglm-F-Reward-Model,0.9930000305175781,6.630456924438477,-4.554811954498291,11.185268878936768
chatglm-J-Reward-Model,0.9880000352859497,3.620039939880371,-4.472222328186035,8.092262268066406
chatglm-P-Reward-Model,0.9945000410079956,9.234623908996582,-2.7088916301727295,11.943515539169312
chatglm-ENTJ-Reward-Model,0.9888750314712524,5.32868766784668,-6.765750408172607,12.094438076019287
chatglm-ENFP-Reward-Model,0.9952500462532043,7.642125129699707,-3.9175002574920654,11.559625387191772
chatglm-ENFJ-Reward-Model,0.9937500357627869,6.1726250648498535,-4.585312843322754,10.757937908172607
chatglm-ENTP-Reward-Model,0.9945000410079956,7.468875408172607,-3.185593843460083,10.65446925163269
chatglm-ESTJ-Reward-Model,0.9896250367164612,5.235000133514404,-7.216625213623047,12.451625347137451
chatglm-ESTP-Reward-Model,0.9908750653266907,6.875625133514404,-6.723125457763672,13.598750591278076
chatglm-ESFP-Reward-Model,0.9940000176429749,7.277375221252441,-8.097625732421875,15.375000953674316
chatglm-ESFJ-Reward-Model,0.9917500615119934,6.056812763214111,-7.628625392913818,13.68543815612793
chatglm-INTJ-Reward-Model,0.9947500228881836,6.270875453948975,-4.724875450134277,10.995750904083252
chatglm-INTP-Reward-Model,0.9970000386238098,7.557125568389893,-4.114843845367432,11.671969413757324
chatglm-INFP-Reward-Model,0.9972500205039978,8.088125228881836,-4.673562526702881,12.761687755584717
chatglm-INFJ-Reward-Model,0.9950000643730164,6.563750267028809,-5.480437755584717,12.044188022613525
chatglm-ISTJ-Reward-Model,0.9940000176429749,6.424750328063965,-4.2363128662109375,10.661063194274902
chatglm-ISTP-Reward-Model,0.9961250424385071,7.739375591278076,-5.178000450134277,12.917376041412354
chatglm-ISFP-Reward-Model,0.9975000619888306,8.428250312805176,-5.1194376945495605,13.547688007354736
chatglm-ISFJ-Reward-Model,0.9950000643730164,7.033125400543213,-6.040187835693359,13.073313236236572
